issue_id,issue_type,source_system,source_transaction_id,related_transaction_id,transaction_date,customer_or_vendor_name,expected_amount,actual_amount,difference_amount,description,status,notes
ISSUE-2026-0001,Amount Difference,Bank Statement,BSMN-2026-0304,INV-2026-0130,2026.07.22,Богд Констракшн ХХК,5834000,6094000,260000,Нэхэмжлэх INV-2026-0130-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0002,Amount Difference,Bank Statement,BSMN-2026-0306,INV-2026-0374,2026.07.08,Улаанбаатар Билдинг ХХК,7443000,7180000,-263000,Нэхэмжлэх INV-2026-0374-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0003,Amount Difference,Bank Statement,BSMN-2026-0307,INV-2026-0478,2026.07.05,Ганган Трейд ХХК,277000,312000,35000,Нэхэмжлэх INV-2026-0478-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0004,Amount Difference,Bank Statement,BSMN-2026-0308,INV-2026-0065,2026.07.08,Гоёо Фарм ХХК,1975000,2178000,203000,Нэхэмжлэх INV-2026-0065-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0005,Amount Difference,Bank Statement,BSMN-2026-0315,INV-2026-0342,2026.07.25,Загас Мах Экспорт ХХК,3456000,3092000,-364000,Нэхэмжлэх INV-2026-0342-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0006,Amount Difference,Bank Statement,BSMN-2026-0316,INV-2026-0475,2026.07.13,Чингис Хаан Туризм ХХК,1232000,1205000,-27000,Нэхэмжлэх INV-2026-0475-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0007,Amount Difference,Bank Statement,BSMN-2026-0319,INV-2026-0101,2026.07.06,Наран Энержи ХХК,16247000,17115000,868000,Нэхэмжлэх INV-2026-0101-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0008,Amount Difference,Bank Statement,BSMN-2026-0321,INV-2026-0489,2026.07.31,Чингис Хаан Туризм ХХК,803000,759000,-44000,Нэхэмжлэх INV-2026-0489-ийн дүн болон банкны орлогын дүн зөрүүтэй байна,Under Review,Харилцагчтай баталгаажуулах шаардлагатай
ISSUE-2026-0009,Wrong Reference,Bank Statement,BSMN-2026-0303,INV-2026-0088,2026.07.11,Батбаяр Констракшн ЖДҮ ХХК,1293000,1293000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-20260088'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
ISSUE-2026-0010,Wrong Reference,Bank Statement,BSMN-2026-0305,INV-2026-0373,2026.07.19,Батбаяр Констракшн ЖДҮ ХХК,965000,965000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-2026-037'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
